airportname,latitude,longitude,count
A Coruna,43.302061,-8.377256,1
Aalborg,57.092789,9.849164,1
Aarhus,56.300017,10.619008,1
Aasiaat,68.7,-52.75,1
Abadan,30.371111,48.228333,1
Abbotsford,49.025278,-122.360556,1
Abel Santamaria,22.492192,-79.943611,1
Abha,18.240367,42.656625,1
Abidjan Felix Houphouet Boigny Intl,5.261386,-3.926294,1
Abraham Gonzalez Intl,31.636133,-106.428667,1
Abu Dhabi Intl,24.432972,54.651138,1
Achmad Yani,-6.971447,110.374122,1
Adams Fld,34.729444,-92.224306,1
Adana,36.982166,35.280388,1
Adelaide Intl,-34.945,138.530556,1
Aden Adde International Airport,2.01444,45.3047,1
Aden Intl,12.829542,45.028792,1
Adi Sumarmo Wiryokusumo,-7.516089,110.756892,1
Adi Sutjipto,-7.788181,110.431758,1
Adiyaman Airport,37.7314,38.4689,1
Adnan Menderes,38.292392,27.156953,1
Aeroparque Jorge Newbery,-34.559175,-58.415606,1
Aeroporto de Porto Seguro,-16.438611,-39.080833,1
Afonso Pena,-25.528475,-49.175775,1
Agartala,23.886978,91.24045,1
Agra,27.155831,77.960892,1
Agri Airport,39.6546,43.0271,1
Ahe Airport,-14.4281,-146.257,1
Ahmedabad,23.077242,72.63465,1
Ahwaz,31.337431,48.76195,1
Ain Arnat Airport,36.1781,5.32449,1
Airport,70.065,29.844,1
Aitutaki,-18.830922,-159.764233,1
Aizawl,23.746603,92.802767,1
Akiak Airport,60.902778,-161.230556,1
Akita,39.615556,140.218611,1
Akron Canton Regional Airport,40.9160833,-81.4421944,1
Aktau,43.86005,51.091978,1
Aktio,38.925467,20.765311,1
Aktyubinsk,50.245833,57.206667,1
Akulivik Airport,60.818600000000004,-78.1486,1
Al Ahsa,25.285306,49.485189,1
Al Baha,20.296139,41.634277,1
Al-Jawf Domestic Airport,29.785133,40.100006,1
Alakanuk Airport,62.68,-164.66,1
Albany Airport,-34.9433,117.809,1
Albany Intl,42.748267,-73.801692,1
Albert J Ellis,34.829164,-77.612139,1
Albuquerque International Sunport,35.0402222,-106.6091944,1
Albury,-36.067778,146.958056,1
Alderney,49.706111,-2.214722,1
Alfonso Bonilla Aragon Intl,3.543222,-76.381583,1
Alfredo Vasquez Cobo,-4.193549,-69.943163,1
Alghero,40.632133,8.290772,1
Alicante,38.282169,-0.558156,1
Alice Springs,-23.806667,133.902222,1
Allahabad,25.440064,81.733872,1
Allakaket Airport,66.5519,-152.6222,1
Allama Iqbal Intl,31.521564,74.403594,1
Allgau,47.988758,10.2395,1
Alluitsup Paa Heliport,60.4644,-45.5778,1
Almaty,43.352072,77.040508,1
Almeria,36.843936,-2.370097,1
Almirante Zar,-43.2105,-65.270319,1
Alpena County Regional Airport,45.0781,-83.5603,1
Alta,69.976111,23.371667,1
Altamira,-3.253906,-52.253978,1
Altoona Blair Co,40.296372,-78.320022,1
Alykel,69.311053,87.332183,1
Amami,28.430633,129.712542,1
Ambler Airport,67.106389,-157.8575,1
Ambouli International Airport,11.5472,43.1594,1
Ambrosio L V Taravella,-31.323619,-64.207953,1
Amilcar Cabral Intl,16.741389,-22.949444,1
Amritsar,31.709594,74.797264,1
Anaktuvuk Pass Airport,68.1336,-151.743,1
Anda Airport,61.83,6.10583,1
Andenes,69.2925,16.144167,1
Andizhan Airport,40.7277,72.294,1
Angads,34.78715,-1.923986,1
Angel Albino Corzo,16.561822,-93.026081,1
Anglet,43.468419,-1.523325,1
Aniak Airport,61.5816,-159.543,1
Aniwa Airport,-19.24,169.605,1
Annaba,36.822225,7.809167,1
Anqing Airport,30.5822,117.0502,1
Antalya,36.898731,30.800461,1
Antonio Maceo Intl,19.969769,-75.835414,1
Antonio Narino,1.396247,-77.291478,1
Antsirabato,-14.999411,50.320233,1
Anvik Airport,62.6467,-160.191,1
Aomori,40.734722,140.690833,1
Apartadó Airport,7.033,-77.2,1
Appleton,44.257526,-88.507576,1
Aracatuba,-21.141342,-50.424722,1
Araguaina Airport,-7.228333,-48.240833,1
Arar,30.906589,41.138217,1
Araracuara Airport,-0.58,-72.41,1
Araxos,38.151111,21.425556,1
Arcata,40.978111,-124.108611,1
Arctic Bay Airport,73.006389,-85.047222,1
Ardabil Airport,38.325678,48.424356,1
Arenal Airport,10.478,-84.6345,1
Arlanda,59.651944,17.918611,1
Arnold Palmer Regional Airport,40.2759,-79.4048,1
Aro,62.744722,7.2625,1
Arrachart,-12.3494,49.291747,1
Arthurs Town Airport,24.629417,-75.673775,1
Arturo Merino Benitez Intl,-33.392975,-70.785803,1
Arturo Michelena Intl,10.149733,-67.9284,1
Arviat,61.094166,-94.070833,1
Asahikawa,43.670833,142.4475,1
Asheville Regional Airport,35.436194,-82.541806,1
Ashgabat,37.986814,58.360967,1
Asmara Intl,15.291853,38.910667,1
Aspen Pitkin County Sardy Field,39.2232,-106.869,1
Astana Intl,51.022222,71.466944,1
Astrakhan,46.283333,48.006278,1
Asturias,43.563567,-6.034622,1
Astypalaia,36.579886,26.375822,1
Aswan Intl,23.964356,32.819975,1
Asyut International Airport,27.046508,31.011983,1
Ataturk,40.976922,28.814606,1
Atlantic City Intl,39.457583,-74.577167,1
Atqasuk Edward Burnell Sr Memorial Airport,70.4673,-157.436,1
Attawapiskat Airport,52.9275,-82.4319,1
Atyrau,47.121944,51.821389,1
Auckland Intl,-37.008056,174.791667,1
Augusta Rgnl At Bush Fld,33.369944,-81.9645,1
Augusto Severo,-5.911417,-35.247717,1
Aupaluk Airport,59.2967,-69.5997,1
Aurangabad,19.862728,75.398114,1
Aurukun Airport,-13.3539,141.721,1
Austin Bergstrom Intl,30.194528,-97.669889,1
Austin Straubel Intl,44.485072,-88.129589,1
Auvergne,45.786661,3.169169,1
Axum,14.14675,38.772833,1
Ayers Rock,-25.186111,130.975556,1
Babelthuap,7.367303,134.544278,1
Bacolod,10.642511,122.929617,1
Baden Airpark,48.7793,8.08048,1
Bagan Intl,21.173833266,94.9246666,1
Bagdogra,26.681206,88.328567,1
Baghdad International Airport,33.262539,44.234578,1
Bagotville,48.330555,-70.996391,1
Bahawalpur Airport,29.3481,71.717981,1
Bahir Dar,11.608075,37.321644,1
Bahrain Intl,26.270834,50.63361,1
Baie Comeau,49.1325,-68.204444,1
Bailian Airport,24.2075,109.391,1
Baita Airport,40.851422,111.824103,1
Baiyun Intl,23.392436,113.298786,1
Baker Lake,64.298889,-96.077778,1
Balandino,55.305836,61.503333,1
Bale Mulhouse,47.589583,7.529914,1
Bali Ngurah Rai,-8.748169,115.167172,1
Balice,50.077731,19.784836,1
Ballina Byron Gateway,-28.833889,153.5625,1
Balmaceda,-45.916058,-71.689475,1
Baltimore Washington Intl,39.175361,-76.668333,1
Bandar Abbass Intl,27.218317,56.37785,1
Bandaranaike Intl Colombo,7.180756,79.884117,1
Bangalore,12.949986000000001,77.668206,1
Bangor Intl,44.807444,-68.828139,1
Banja Luka International Airport,44.941444,17.297501,1
Banjul Intl,13.337961,-16.652206,1
Baoan Intl,22.639258,113.810664,1
Baotou Airport,40.56,109.997,1
Barajas,40.493556,-3.566764,1
Barataevka,54.268299,48.2267,1
Barcelona,41.297078,2.078464,1
Bari,41.138856,16.760594,1
Bario Airport,3.73389,115.479,1
Barnstable Muni Boardman Polando Fld,41.669336,-70.280356,1
Barquisimeto Intl,10.042747,-69.358619,1
Barreiras Airport,-12.083333,-45.0,1
Barter Island Lrrs,70.133989,-143.581867,1
Bartolomeu Lisandro,-21.698333,-41.301669,1
Bassillac,45.198055,0.815556,1
Bata,1.905469,9.805681,1
Bateen,24.428333,54.458084,1
Bathurst Airport,-33.4094,149.652,1
Batman,37.928969,41.116583,1
Batna Airport,35.752106,6.308589,1
Baton Rouge Metro Ryan Fld,30.533167,-91.149639,1
Batsfjord,70.600278,29.6925,1
Batumi,41.610278,41.599694,1
Bauru-Arealva,-22.157778,-49.068333,1
Bayankhongor Airport,46.1633,100.704,1
Bayannur,40.926389,107.738889,1
Bearskin Lake Airport,53.9656,-91.0272,1
Beaver Airport,66.362222,-147.406667,1
Bedourie Airport,-24.3461,139.46,1
Begishevo,55.34,52.06,1
Beihai Airport,21.5394,109.294,1
Beijing Nanyuan Airport,39.7825,116.387778,1
Beira,-19.796419,34.907556,1
Belbek Sevastopol International Airport,44.691431,33.57567,1
Belep Islands Airport,-19.7206,163.661,1
Belfast City,54.618056,-5.8725,1
Belfast Intl,54.6575,-6.215833,1
Belgorod International Airport,50.6438,36.5901,1
Belize City Municipal Airport,17.5344,-88.298,1
Bella Bella Airport,52.139722,-128.063611,1
Bella Coola Airport,52.3875,-126.596,1
Bellegarde,45.862778,1.179444,1
Bellingham Intl,48.792694,-122.537528,1
Bellona,-11.302,159.8,1
Beloyarsky,63.683056,66.683056,1
Ben Gurion,32.011389,34.886667,1
Benbecula,57.481111,-7.362778,1
Benin,6.316981,5.599503,1
Benina,32.096786,20.269472,1
Beograd,44.818444,20.309139,1
Berbera,10.389167,44.941106,1
Bergamo Orio Al Serio,45.673889,9.704166,1
Berlevag,70.866667,29.0,1
Bermuda Intl,32.364042,-64.678703,1
Bern Belp,46.9141,7.497153,1
Bethel,60.779778,-161.838,1
Bettles,66.913944,-151.529056,1
Bhopal,23.287467,77.337375,1
Bhubaneshwar,20.244364,85.817781,1
Biard,46.587745,0.306666,1
Big Trout Lake Airport,53.8178,-89.8969,1
Bijie Feixiong Airport,27.253,105.426,1
Bilbao,43.301097,-2.910608,1
Billings Logan International Airport,45.80921,-108.537654,1
Billund,55.740322,9.151778,1
Bingol,38.86111,40.5925,1
Binhai,39.124353,117.346183,1
Bintulu,3.12385,113.020472,1
Birdsville Airport,-25.8975,139.348,1
Birjand,32.898056,59.266111,1
Birmingham,52.453856,-1.748028,1
Birmingham Intl,33.562942,-86.75355,1
Birsa Munda,23.31425,85.321675,1
Bisha,19.98435,42.620881,1
Bishop International,42.965424,-83.743629,1
Biskra,34.793289,5.738231,1
Bismarck Municipal Airport,46.775842,-100.757931,1
Blackpool,53.771667,-3.028611,1
Blagnac,43.629075,1.363819,1
Bloemfontein Intl,-29.092722,26.302444,1
Blue Grass,38.0365,-84.605889,1
Bob Baker Memorial Airport,66.975833,-160.436667,1
Bob Hope,34.200667,-118.358667,1
Bobo Dioulasso,11.160056,-4.330969,1
Bodo,67.269167,14.365278,1
Bodrum - Milas,37.249,27.667,1
Boeing Fld King Co Intl,47.53,-122.301947,1
Boise Air Terminal,43.564361,-116.222861,1
Bole Intl,8.977889,38.799319,1
Bologna,44.535444,11.288667,1
Bolshoye Savino,57.914517,56.021214,1
Bonaventure Airport,48.0711,-65.4603,1
Bonriki Intl,1.381636,173.14703600000001,1
Boone Co,36.261519,-93.154728,1
Bora Bora,-16.444378,-151.751286,1
Borg El Arab Intl,30.917669,29.696408,1
Borlange,60.422017,15.515211,1
Boryspil Intl,50.345,30.894722,1
Bosaso Airport,11.2753,49.1494,1
Boulia Airport,-22.9133,139.9,1
Bournemouth,50.78,-1.8425,1
Boutheon,45.540554,4.296389,1
Bradford Regional Airport,41.8031,-78.6401,1
Bradley Intl,41.938889,-72.683222,1
Brainerd Lakes Rgnl,46.398308,-94.138078,1
Branson LLC,36.531994,-93.200556,1
Bratsk,56.370556,101.698331,1
Brevig Mission Airport,65.331389,-166.465833,1
Brisbane Intl,-27.384167,153.1175,1
Bristol,51.382669,-2.719089,1
Broken Hill Airport,-32.0014,141.472,1
Bromma,59.354372,17.94165,1
Bronnoy,65.461111,12.2175,1
Broome,-17.8,122.2,1
Brunei Intl,4.9442,114.928353,1
Brussels Natl,50.901389,4.484444,1
Brussels South,50.459197,4.453817,1
Brusselton,-33.687222,115.400278,1
Bucholz Aaf,8.720122,167.731661,1
Buckland Airport,65.981667,-161.149167,1
Buffalo Niagara Intl,42.940525,-78.732167,1
Bugulma Airport,54.64,52.8017,1
Bujumbura Intl,-3.324019,29.318519,1
Buka Airport,-5.42232,154.673,1
Bukavu Kavumu,-2.308978,28.808803,1
Bukhara,39.775,64.483333,1
Bunia,1.565719,30.220833,1
Buon Ma Thuot Airport,12.668311,108.120272,1
Burgas,42.569583,27.515236,1
Burketown Airport,-17.7486,139.534,1
Burlington Intl,44.471861,-73.153278,1
Bushehr,28.944811,50.834637,1
Busuanga,12.121458,120.100031,1
Butuan,8.951322,125.477972,1
Bydgoszcz Ignacy Jan Paderewski Airport,53.0968,17.9777,1
C P A Carlos Rovirosa Intl,17.997,-92.817361,1
Cabinda,-5.596992,12.188353,1
Cabo Frio International Airport,-22.921667,-42.074167,1
Cabo Velas Airport,10.3557,-85.852892,1
Cadete Guillermo Del Castillo Paredes,-6.508742,-76.373247,1
Cadjehoun,6.357228,2.384353,1
Cagayan De Oro,8.415619,124.611219,1
Cairns Intl,-16.885833,145.755278,1
Cairo Intl,30.121944,31.405556,1
Calabar,4.976019,8.347197,1
Calgary Intl,51.113888,-114.020278,1
Calicut,11.136839,75.9553,1
Cam Ranh Airport,11.998153,109.219372,1
Cambridge Bay,69.108055,-105.138333,1
Camilo Daza,7.927567,-72.511547,1
Camilo Ponce Enriquez Airport,-3.99589,-79.3719,1
Campbell River,49.950832,-125.270833,1
Campo Dell Oro,41.923637,8.802917,1
Campo Dos Bugres,-29.197064,-51.187536,1
Campo Grande,-20.468667,-54.6725,1
Canadian Rockies Intl,49.612222,-115.781944,1
Canberra,-35.306944,149.195,1
Cancun Intl,21.036528,-86.877083,1
Cap Fap David Abenzur Rengifo Intl,-8.377939,-74.574297,1
Cap Haitien Intl,19.732989,-72.194739,1
Cape Dorset,64.23,-76.526667,1
Cape Town Intl,-33.964806,18.601667,1
Capital City,42.7787,-84.587357,1
Capital Intl,40.080111,116.584556,1
Capitan Oriel Lea Plaza,-21.555736,-64.701325,1
Capodichino,40.886033,14.290781,1
Carajas Airport,-6.11781,-50.0035,1
Cardiff,51.396667,-3.343333,1
Carlos Alberto da Costa Neves Airport,-26.788333,-50.939722,1
Carlos Ibanez Del Campo Intl,-53.002642,-70.854586,1
Carpiquet,49.173333,-0.45,1
Carrasco Intl,-34.838417,-56.030806,1
Carriel Sur Intl,-36.77265,-73.063106,1
Carthage,36.851033,10.227217,1
Casa De Campo Intl,18.450711,-68.911833,1
Casale,40.657633,17.947033,1
Cascavel,-25.000339,-53.500764,1
Cassidy Intl,1.986161,-157.349778,1
Castlegar,49.296389,-117.6325,1
Cat Bi International Airport,20.819386,106.724989,1
Cat Lake Airport,51.7272,-91.8244,1
Catania Fontanarossa,37.466781,15.0664,1
Cataratas Del Iguazu,-25.737281,-54.473444,1
Cataratas Intl,-25.59615,-54.487206,1
Catumbela Airport,-12.4792,13.4869,1
Caumont,43.9073,4.901831,1
Caye Caulker Airport,17.7347,-88.0325,1
Cayo Coco Airport,22.5132,-78.511,1
Cedar Rapids,41.884694,-91.710806,1
Central,51.334366,46.022952,1
Central Illinois Rgnl,40.477111,-88.915917,1
Central Nebraska Regional Airport,40.9675,-98.3096,1
Central Wisconsin,44.772726,-89.646635,1
Cerro Moreno Intl,-23.444478,-70.4451,1
Chacalluta,-18.348531,-70.338742,1
Chah Bahar,25.44335,60.382114,1
Chaklala,33.616653,73.099233,1
Chalkyitsik Airport,66.645,-143.74,1
Champaign,40.03925,-88.278056,1
Chandigarh,30.673469,76.788542,1
Changbaishan Airport,42.088056,127.548889,1
Changbei Intl,28.865,115.9,1
Changchun,43.5412,125.1201,1
Changde Airport,28.9189,111.64,1
Changi Intl,1.350189,103.994433,1
Changle,25.935064,119.663272,1
Changzhi Airport,36.2475,113.126,1
Changzhou,31.941667,119.711667,1
Changzhoudao Airport,23.4567,111.248,1
Chapais Airport,49.7719,-74.5281,1
Chapeco,-27.134219,-52.656553,1
Charles De Gaulle,49.012779,2.55,1
Charles M Schulz Sonoma Co,38.508978,-122.81288,1
Charleston Afb Intl,32.898647,-80.040528,1
Charleville,-26.413334,146.2625,1
Charlo,47.990833,-66.330278,1
Charlotte County-Punta Gorda Airport,26.919722,-81.990556,1
Charlotte Douglas Intl,35.214,-80.943139,1
Charlottesville-Albemarle,38.138639,-78.452861,1
Charlottetown,46.290001,-63.121111,1
Chautauqua County-Jamestown,42.153333,-79.258056,1
Cheboksary Airport,56.0903,47.3473,1
Cheddi Jagan Intl,6.498553,-58.254119,1
Chefornak Airport,60.149167,-164.285556,1
Chennai Intl,12.994414,80.180517,1
Cheongju International Airport,36.7166,127.499119,1
Cherepovets Airport,59.2736,38.0158,1
Cherry Capital Airport,44.741445,-85.582235,1
Chertovitskoye,51.814211,39.229589,1
Chesterfield Inlet Airport,63.3469,-90.7311,1
Chevak Airport,61.5338,-165.584,1
Chevery Airport,50.4689,-59.6367,1
Cheyenne Rgnl Jerry Olson Fld,41.155722,-104.811839,1
Chhatrapati Shivaji Intl,19.088686,72.867919,1
Chiang Mai Intl,18.766847,98.962644,1
Chicago Midway Intl,41.785972,-87.752417,1
Chicago Ohare Intl,41.978603,-87.904842,1
Chicago Rockford International Airport ,42.1953611,-89.0972222,1
Chifeng Airport,42.235,118.908,1
Chileka Intl,-15.679053,34.974014,1
Ching Chuang Kang,24.264668,120.62058,1
Chinggis Khaan Intl,47.843056,106.766639,1
Chios,38.343175,26.140572,1
Chisasibi Airport,53.8056,-78.9169,1
Chisinau Intl,46.927744,28.930978,1
